商家ID,total_actual_amount,total_postage,total_sales
100001,31354,103,244
100002,29667,84,236
100003,29886,34,232
100004,25292,28,208
100005,25891,43,198
100006,24609,24,200
100007,23510,34,196
100008,25642,73,199
100009,26605,63,182
100010,21925,56,171
100011,21307,28,164
100012,19831,55,153
100013,20548,14,152
100014,19796,8,152
100015,18857,74,145
100016,18144,36,132
100017,17727,28,136
100018,18641,16,137
100019,15227,30,125
100020,15928,28,126
100021,14451,18,115
100022,15377,16,120
100023,15752,18,114
100024,12791,34,102
100025,13101,18,95
100026,11694,21,94
100027,10427,0,85
100028,11490,8,89
100029,12136,42,85
100030,9215,8,71
100031,9946,20,80
100032,8826,16,68
100033,9808,19,73
100034,8669,30,67
100035,8431,18,65
100036,8736,0,69
100037,7982,14,67
100038,7266,36,57
100039,6412,0,50
100040,6451,22,58
100041,7281,16,60
100042,6242,8,48
100043,6323,24,55
100044,8398,10,58
100045,5647,6,48
100046,5780,0,50
100047,6789,10,52
100048,6177,20,50
100049,5550,0,43
100050,7384,14,50
100051,6569,6,53
100052,7476,8,53
100053,5266,0,41
100054,5930,8,42
100055,5753,18,45
100056,4889,20,36
100057,5604,0,42
100058,5296,8,45
100059,5288,0,42
100060,5901,0,44
100061,6043,26,42
100062,5298,6,40
100063,4743,6,40
100064,4810,10,42
100065,5160,16,40
100066,6348,16,44
100067,5349,16,37
100068,5454,18,40
100069,3526,6,33
100070,4285,18,40
100071,5156,8,42
100072,5382,0,38
100073,4394,0,34
100074,4573,10,35
100075,4242,10,38
100076,3985,6,37
100077,5235,0,39
100078,4174,0,32
100079,4123,0,34
100080,5063,6,37
100081,4882,0,40
100082,4547,14,34
100083,6180,6,37
100084,4594,0,36
100085,4909,0,37
100086,4240,18,35
100087,3303,0,28
100088,4325,8,35
100089,4609,0,32
100090,3491,0,30
100091,4035,0,31
100092,3832,14,30
100093,4508,0,33
100094,2884,0,28
100095,3915,34,29
100096,4227,14,36
100097,3206,8,30
100098,4977,22,38
100099,4701,0,38
100100,3858,12,32
100101,3599,6,34
100102,4010,8,33
100103,3930,12,36
100104,4693,8,33
100105,3988,16,29
100106,3557,6,30
100107,3799,0,31
100108,3954,22,29
100109,4182,24,29
100110,4376,0,33
100111,4110,0,31
100112,3746,6,31
100113,3382,0,26
100114,3450,0,30
100115,4146,10,31
100116,4343,10,29
100117,3177,0,26
100118,3748,0,28
100119,3136,18,27
100120,4317,0,27
100121,3915,0,33
100122,4092,0,29
100123,4091,0,28
100124,3675,12,25
100125,2471,0,26
100126,4174,10,29
100127,3592,16,28
100128,3320,0,26
100129,3012,6,26
100130,3756,6,27
100131,3235,8,28
100132,2986,6,26
100133,3386,0,24
100134,3309,12,22
100135,3819,8,31
100136,3386,6,24
100137,3535,6,29
100138,3748,6,30
100139,2738,0,25
100140,2884,0,25
100141,3170,0,26
100142,4017,10,27
100143,3959,26,31
100144,3429,0,29
100145,3258,0,28
100146,3095,0,24
100147,3675,0,28
100148,3660,0,29
100149,3955,0,27
100150,3354,10,25
100151,2346,16,21
100152,2741,0,29
100153,2884,0,23
100154,2527,0,24
100155,3398,16,24
100156,2270,6,22
100157,2527,0,19
100158,2821,26,22
100159,3160,10,22
100160,3383,0,25
100161,2627,0,19
100162,2601,12,22
100163,3276,0,23
100164,2197,0,17
100165,3788,8,27
100166,2896,6,25
100167,2788,14,22
100168,3139,6,24
100169,2097,0,18
100170,3127,8,20
100171,3466,6,22
100172,2874,6,22
100173,2308,0,20
100174,3124,0,21
100175,4123,0,25
100176,2468,6,20
100177,3074,0,22
100178,2693,24,19
100179,2583,0,23
100180,2895,0,24
100181,2186,0,16
100182,2558,0,23
100183,2443,10,20
100184,2834,0,22
100185,1908,0,20
100186,1906,0,16
100187,3409,10,26
100188,3123,0,22
100189,2527,0,20
100190,2197,8,19
100191,2715,8,22
100192,2602,20,18
100193,1875,0,18
